scientific_name,common_name,category,added_by
Rhizopus microsporus,rhizopus,fungus,BP
Ribes uva-crispa or R. grossularia,gooseberry,plant,JL
Rosa,rose,plant,JL
Rubus,blackberry,plant,JL
Rubus caesius,european dewberry,plant,BP
Rubus idaeus,raspberry,plant,BP
Rubus ursinus ◊ R. idaeus,boysenberry,plant,JL
Rutilus rutilus,common roach (fish),animal,BP
Saccharomyces cerevisiae,yeast,fungus,BP
Saccharum officinarum,sugarcane,plant,BP
Salmo salar,salmon,animal,BP
Salsola soda,Saltwort,plant,JL
Salvia hispanica,chia seed,plant,JL
Salvia officinalis,sage,plant,BP
Salvia rosmarinus,rosemary,plant,BP
Sardina pilchardus,european pilchard,animal,BP
Sardinops sagax,south american pilchard,animal,BP
Sauropus androgynus,katuk,plant,BP
Schinus molle,pink peppercorn,plant,JL
Scomberomorus lineolatus,streaked spanish mackerel,animal,BP
Scophthalmus maximus,Turbot,animal,JL
Scophthalmus rhombus,Brill,animal,JL
Scorodophloeus zenkeri,"garlic tree, divida",plant,BP
Scorzonera hispanica,"Spanish salsify, black salsify",plant,JL
Secale cereale,rye,plant,BP
Secale cereale x Triticum aestivum,triticale,plant,BP
Sechium edule,chayote,plant,BP
Sesamum indicum,sesame,plant,BP
Smallanthus sonchifolius,yacon,plant,JL
Solanum aethiopicum,"bitter tomato, african eggplant",plant,BP
Solanum americanum,nightshade,plant,BP
Solanum anguivi,"african eggplant, forest bitterberry",plant,BP
Solanum lycopersicum,tomato,plant,BP
Solanum macrocarpon,"african eggplant, vietnamese eggplant",plant,BP
Solanum melongena,eggplant,plant,BP
Solanum quitoense,naranjilla,plant,BP
Solanum tuberosum,potato,plant,BP
Sorghum bicolor,sorghum,plant,BP
Sparus aurata,"Dorade, gilt-head bream, orata",animal,JL
Sphyraena,barracuda,animal,JL
Spinacia oleracea,spinach,plant,BP
Spondias dulcis,ambarella,plant,BP
Sprattus,Sprat,animal,JL
Stachys affinis,"Chinese artichoke, crosne",plant,JL
Alosinae,Shad†(incl. roe),animal,JL
Epinephelinae,Grouper,animal,JL
Medusozoa,jellyfish,animal,JL
Suillus luteus,slippery jack,fungus,JL
Astacoidea,"crayfish, crawfish",animal,JL
Parastacoidea,"crayfish, crawfish",animal,JL
Chirostyloidea,"langostino, squat lobster",animal,JL
Galatheoidea,"langostino, squat lobster",animal,JL
Hippoidea,"sand crab, mole crab",animal,JL
Ostreoidea,oyster,animal,JL
Decapodiformes,"squid, calamari",animal,JL
Sus scrofa,pig,animal,BP
Sylvilagus,cottontail rabbit,animal,BP
Synsepalum dulcificum,miracle berry,plant,JL
Syzygium aromaticum,clove,plant,BP
Talinum fruticosum ,ceylon spinach,plant,BP
Tamarindus indica,tamarind,plant,BP
Taraxacum ,dandelion,plant,JL
Tenualosa ilisha,Ilish,animal,JL
Theobroma cacao,cocoa bean,plant,BP
Thunnus alalunga,albacore tuna,animal,JL
Thunnus albacares,yellowfin tuna,animal,BP
Thunnus obesus,bigeye tuna,animal,JL
Thunnus thynnus,atlantic bluefin tuna,animal,BP
Thymus vulgaris,thyme,plant,BP
Oreochromis niloticus,nile tilapia,animal,BP
Oreochromis aureus,blue tilapia,animal,BP
Oreochromis mossambicus,mozambique tilapia,animal,BP
Trachinotus,Pompano,animal,JL
Tragopogon porrifolius,salsify,plant,JL
Trametes versicolor,turkey tail mushroom,fungus,JL
Trigonella foenum-graecum,fenugreek,plant,JL
Triticum aestivum,wheat,plant,BP
Triticum dicoccon,farro,plant,JL
Triticum durum,"bulgur, freekeh",plant,JL
Triticum turgidum subsp. durum,"bulgur, freekeh",plant,BP
Triticum spelta,spelt,plant,BP
Triticum turanicum,"kamut, Khorasan wheat",plant,JL
Ucides occidentalis,pacific mangrove ghost crab,animal,BP
Ullucus tuberosus,ullucus,plant,BP
Vaccinium microcarpum,cranberry,plant,BP
Vaccinium myrtillus,european blueberry,plant,BP
Vaccinium pallidum,dryland blueberry,plant,BP
Vaccinium tenellum,southern blueberry,plant,BP
Vaccinium vitis-idaea,lingonberry,plant,BP
Vanilla planifolia,vanilla,plant,JL
Vespa velutina,asian hornet,animal,BP
Vicia faba,"fava bean, broad bean",plant,BP
Vigna angularis,adzuki bean,plant,JL
Vigna radiata,mung bean,plant,BP
Vigna subterranea,bambara groundnut,plant,BP
Vigna unguiculata,cowpea,plant,BP
Vigna unguiculata subsp. Sesquipedalis,"long bean, asparagus beasn",plant,JL
Vitis rotundifolia,muscadine grape,plant,BP
Vitis vinifera,common grape vine,plant,BP
Xanthosoma,yautia,plant,JL
Xiphias gladius,Swordfish,animal,JL
Zamia integrifolia,arrowroot,plant,JL
Zea mays,corn,plant,BP
Zeus faber,"John Dory, St Pierre, Peter's Fish",animal,JL
Zingiber officinale,ginger,plant,BP
Brassica juncea,"jujube, red date",plant,BP
