superkingdom,kingdom,phylum,order,family,family_color,genus,genus_color,species,species_color
Eukaryota,Viridiplantae,Streptophyta,Lamiales,Oleaceae,#2D004B,Olea,,Olea europaea,
Eukaryota,Viridiplantae,Streptophyta,Lamiales,Pedaliaceae,#FEE0B6,Sesamum,,Sesamum indicum,
Eukaryota,Viridiplantae,Streptophyta,Pinales,Pinaceae,#F6E8C3,Pinus,,NA,
Eukaryota,Viridiplantae,Streptophyta,Poales,Poaceae,#DFC27D,Avena,,Avena sativa,
Eukaryota,Viridiplantae,Streptophyta,Poales,Poaceae,#DFC27D,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Poales,Poaceae,#DFC27D,Zea,,Zea mays,
Eukaryota,Viridiplantae,Streptophyta,Poales,Poaceae,#DFC27D,Oryza,,Oryza sativa,
Eukaryota,Viridiplantae,Streptophyta,Poales,Poaceae,#DFC27D,Hordeum,,Hordeum vulgare,
Eukaryota,Viridiplantae,Streptophyta,Poales,Poaceae,#DFC27D,Sorghum,,Sorghum bicolor,
Eukaryota,Viridiplantae,Streptophyta,Proteales,Proteaceae,#F5F5F5,Macadamia,,Macadamia integrifolia,
Eukaryota,Viridiplantae,Streptophyta,Rosales,Rosaceae,#DE77AE,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Rosales,Rosaceae,#DE77AE,Rubus,,Rubus idaeus,
Eukaryota,Viridiplantae,Streptophyta,Rosales,Rosaceae,#DE77AE,Pyrus,,NA,
Eukaryota,Viridiplantae,Streptophyta,Rosales,Rosaceae,#DE77AE,Prunus,,NA,
Eukaryota,Viridiplantae,Streptophyta,Solanales,Solanaceae,#D73027,Capsicum,,Capsicum annuum,
Eukaryota,Viridiplantae,Streptophyta,Solanales,Solanaceae,#D73027,NA,,NA,
Eukaryota,Viridiplantae,Streptophyta,Solanales,Solanaceae,#D73027,Solanum,,Solanum lycopersicum,
Eukaryota,Viridiplantae,Streptophyta,Solanales,Solanaceae,#D73027,Solanum,,NA,
Eukaryota,Viridiplantae,Streptophyta,Vitales,Vitaceae,#542788,Vitis,,Vitis vinifera,
Eukaryota,Viridiplantae,Streptophyta,Zingiberales,Zingiberaceae,#FDE0EF,Zingiber,,Zingiber officinale,
