needs_QC,scientific_name,common_name,alternative_names,category,source
,Brotula clarkae,brotula,cuskeel,animal,"FDA The Seafood List, 2023/07/21"
,Bubalus bubalis,water buffalo,,animal,BP
,Buglossidium luteum,yellow sole,"solenette, sole",animal,"FDA The Seafood List, 2023/07/21"
,Busycotypus canaliculatus,whelk,,animal,"FDA The Seafood List, 2023/07/21"
,Busycotypus spiratus,whelk,,animal,"FDA The Seafood List, 2023/07/21"
,Caelorinchus fasciatus,grenadier,,animal,"FDA The Seafood List, 2023/07/21"
,Caesio cuning,fusilier,,animal,"FDA The Seafood List, 2023/07/21"
,Cairina moschata,muscovy duck,,animal,BP
,Calamus arctifrons,porgy,,animal,"FDA The Seafood List, 2023/07/21"
,Calamus leucosteus,porgy,,animal,"FDA The Seafood List, 2023/07/21"
,Callichthys callichthys,cascarudo,,animal,"FDA The Seafood List, 2023/07/21"
,Callinectes amnicola,swimming crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Callinectes arcuatus,swimming crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Callinectes bellicosus,swimming crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Callinectes rathbunae,swimming crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Callinectes sapidus,atlantic blue crab,"crab, blue crab",animal,BP
,Callinectes toxotes,swimming crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Callorhinchus milii,elephant fish,,animal,"FDA The Seafood List, 2023/07/21"
,Calotomus carolinus,parrotfish,,animal,"FDA The Seafood List, 2023/07/21"
,Cancer anthonyi,yellow rock crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Cancer borealis,jonah crab,crab,animal,SJ
,Cancer irroratus,atlantic rock crab,"crab, rock crab",animal,SJ
,Cancer magister,dungeness crab,,animal,JL
,Cancer pagurus,rock crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Cancer productus,rock crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Canis lupus,wolf,,animal,BP
,Canthidermis maculata,triggerfish,,animal,"FDA The Seafood List, 2023/07/21"
,Canthidermis sufflamen,triggerfish,,animal,"FDA The Seafood List, 2023/07/21"
,Capra hircus,goat,,animal,BP
,Caprodon schlegelii,grouper,,animal,"FDA The Seafood List, 2023/07/21"
,Carangoides bartholomaei,jack,,animal,"FDA The Seafood List, 2023/07/21"
,Carangoides otrynter,threadfin,jack,animal,"FDA The Seafood List, 2023/07/21"
,Carangoides ruber,jack,,animal,"FDA The Seafood List, 2023/07/21"
,Caranx caballus,jack,,animal,"FDA The Seafood List, 2023/07/21"
,Caranx caninus,jack,pacific crevalle jack,animal,"FDA The Seafood List, 2023/07/21"
,Caranx crysos,jack ,blue runner,animal,"FDA The Seafood List, 2023/07/21"
,Caranx hippos,jack,,animal,"FDA The Seafood List, 2023/07/21"
,Caranx ignobilis,jack,trevally,animal,"FDA The Seafood List, 2023/07/21"
,Caranx latus,jack,,animal,"FDA The Seafood List, 2023/07/21"
,Caranx lugubris,jack,,animal,"FDA The Seafood List, 2023/07/21"
,Caranx melampygus,jack ,trevally,animal,"FDA The Seafood List, 2023/07/21"
,Caranx sexfasciatus,trevally,,animal,"FDA The Seafood List, 2023/07/21"
,Caranx vinctus,jack,,animal,"FDA The Seafood List, 2023/07/21"
,Carassius carassius,crucian carp,carp,animal,FAO Cultured Aquatic Species Fact Sheets
,Carcharhinus acronotus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus albimarginatus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus altimus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus amblyrhynchos,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus brachyurus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus brevipinna,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus falciformis,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus isodon,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus leucas,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus limbatus,atlantic blacktip shark,"shark, blacktip shark",animal,NOAA Fisheries
,Carcharhinus longimanus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus melanopterus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus obscurus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus perezii,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus plumbeus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus porosus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharhinus signatus,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcharodon carcharias,shark,,animal,"FDA The Seafood List, 2023/07/21"
,Carcinus aestuari,mediterranean green crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Carcinus maenas,swimming crab,crab,animal,"FDA The Seafood List, 2023/07/21"
1,Cardiidae,cockle,,animal,JL
,Cardisoma armatum,land crab,crab,animal,"FDA The Seafood List, 2023/07/21"
,Carebara vidua,black ant,,animal,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
,Carpiodes carpio,sucker,,animal,"FDA The Seafood List, 2023/07/21"
,Carpiodes cyprinus,sucker,,animal,"FDA The Seafood List, 2023/07/21"
